2020-07-31 16:27:16 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2020-07-31 16:27:16 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:16 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:16 install findutils:amd64 <none> 4.7.0-1ubuntu1
2020-07-31 16:27:16 status half-installed findutils:amd64 4.7.0-1ubuntu1
2020-07-31 16:27:16 status unpacked findutils:amd64 4.7.0-1ubuntu1
2020-07-31 16:27:16 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2020-07-31 16:27:16 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:16 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-07-31 16:27:16 install grep:amd64 <none> 3.4-1
2020-07-31 16:27:16 status half-installed grep:amd64 3.4-1
2020-07-31 16:27:16 status unpacked grep:amd64 3.4-1
2020-07-31 16:27:16 install gzip:amd64 <none> 1.10-0ubuntu4
2020-07-31 16:27:16 status half-installed gzip:amd64 1.10-0ubuntu4
2020-07-31 16:27:16 status unpacked gzip:amd64 1.10-0ubuntu4
2020-07-31 16:27:16 install hostname:amd64 <none> 3.23
2020-07-31 16:27:16 status half-installed hostname:amd64 3.23
2020-07-31 16:27:16 status unpacked hostname:amd64 3.23
2020-07-31 16:27:16 install init-system-helpers:all <none> 1.57
2020-07-31 16:27:16 status half-installed init-system-helpers:all 1.57
2020-07-31 16:27:16 status unpacked init-system-helpers:all 1.57
2020-07-31 16:27:16 install libacl1:amd64 <none> 2.2.53-6
2020-07-31 16:27:16 status half-installed libacl1:amd64 2.2.53-6
2020-07-31 16:27:16 status unpacked libacl1:amd64 2.2.53-6
2020-07-31 16:27:16 install libattr1:amd64 <none> 1:2.4.48-5
2020-07-31 16:27:16 status half-installed libattr1:amd64 1:2.4.48-5
2020-07-31 16:27:16 status unpacked libattr1:amd64 1:2.4.48-5
2020-07-31 16:27:16 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2020-07-31 16:27:16 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2020-07-31 16:27:16 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:16 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2020-07-31 16:27:17 install libbz2-1.0:amd64 <none> 1.0.8-2
2020-07-31 16:27:17 status half-installed libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:27:17 status unpacked libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:27:17 install libc-bin:amd64 <none> 2.31-0ubuntu9
2020-07-31 16:27:17 status half-installed libc-bin:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 status unpacked libc-bin:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2020-07-31 16:27:17 status half-configured libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 status unpacked libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 status half-installed libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 status unpacked libc6:amd64 2.31-0ubuntu9
2020-07-31 16:27:17 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2020-07-31 16:27:17 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2020-07-31 16:27:17 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2020-07-31 16:27:17 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2020-07-31 16:27:17 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2020-07-31 16:27:17 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2020-07-31 16:27:17 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2020-07-31 16:27:17 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:27:17 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:27:17 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:27:17 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:27:17 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:27:17 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2020-07-31 16:27:17 status half-installed libdebconfclient0:amd64 0.251ubuntu1
